"날짜","종가","오픈","고가","저가","변동 %"
"2021년 03월 31일","1,132.24","1,134.05","1,134.05","1,131.34","-0.03%"
"2021년 03월 30일","1,132.59","1,132.56","1,136.29","1,131.42","0.09%"
"2021년 03월 29일","1,131.56","1,128.95","1,136.41","1,128.77","0.27%"
"2021년 03월 26일","1,128.52","1,135.24","1,136.09","1,128.07","-0.58%"
"2021년 03월 25일","1,135.12","1,135.40","1,138.02","1,131.93","0.02%"
"2021년 03월 24일","1,134.90","1,133.40","1,135.96","1,130.24","0.18%"
"2021년 03월 23일","1,132.90","1,126.49","1,134.48","1,125.02","0.61%"
"2021년 03월 22일","1,126.00","1,129.47","1,134.01","1,125.61","-0.28%"
"2021년 03월 19일","1,129.12","1,128.25","1,134.80","1,125.31","0.12%"
"2021년 03월 18일","1,127.75","1,121.91","1,131.30","1,120.04","0.58%"
"2021년 03월 17일","1,121.21","1,129.93","1,134.31","1,120.65","-0.69%"
"2021년 03월 16일","1,129.00","1,132.85","1,135.91","1,128.14","-0.30%"
"2021년 03월 15일","1,132.35","1,136.50","1,138.78","1,130.92","-0.37%"
"2021년 03월 12일","1,136.50","1,130.85","1,139.35","1,127.27","0.54%"
"2021년 03월 11일","1,130.35","1,136.91","1,140.99","1,128.90","-0.49%"
"2021년 03월 10일","1,135.91","1,135.91","1,145.60","1,135.31","0.09%"
"2021년 03월 09일","1,134.91","1,141.83","1,144.85","1,133.38","-0.52%"
"2021년 03월 08일","1,140.83","1,128.85","1,144.07","1,127.06","1.14%"
"2021년 03월 05일","1,128.00","1,131.03","1,137.27","1,124.04","-0.25%"
"2021년 03월 04일","1,130.87","1,127.05","1,133.06","1,123.36","0.43%"
"2021년 03월 03일","1,126.05","1,125.29","1,128.05","1,116.95","0.09%"
"2021년 03월 02일","1,125.01","1,113.53","1,128.28","1,102.06","1.05%"
"2021년 03월 01일","1,113.33","1,124.89","1,125.15","1,113.09","-0.94%"
"2021년 02월 26일","1,123.89","1,119.47","1,130.33","1,118.41","0.46%"
"2021년 02월 25일","1,118.77","1,107.54","1,121.61","1,105.70","1.04%"
"2021년 02월 24일","1,107.27","1,110.22","1,113.75","1,106.08","-0.26%"
"2021년 02월 23일","1,110.13","1,112.58","1,114.81","1,108.24","-0.13%"
"2021년 02월 22일","1,111.59","1,106.02","1,116.10","1,102.83","0.66%"
"2021년 02월 19일","1,104.27","1,107.08","1,111.28","1,102.22","-0.24%"
"2021년 02월 18일","1,106.96","1,106.50","1,110.15","1,103.19","0.12%"
"2021년 02월 17일","1,105.61","1,107.58","1,110.81","1,104.49","-0.09%"
"2021년 02월 16일","1,106.58","1,102.31","1,109.55","1,096.91","0.48%"
"2021년 02월 15일","1,101.31","1,104.37","1,106.00","1,100.70","-0.12%"
"2021년 02월 12일","1,102.59","1,103.12","1,107.59","1,101.73","0.04%"
"2021년 02월 11일","1,102.12","1,106.48","1,108.02","1,102.05","-0.30%"
"2021년 02월 10일","1,105.48","1,111.01","1,114.16","1,103.59","-0.49%"
"2021년 02월 09일","1,110.88","1,117.31","1,118.75","1,110.08","-0.42%"
"2021년 02월 08일","1,115.61","1,117.76","1,122.17","1,116.05","-0.10%"
"2021년 02월 05일","1,116.77","1,120.11","1,127.85","1,116.22","-0.29%"
"2021년 02월 04일","1,120.00","1,113.58","1,122.74","1,112.48","0.59%"
"2021년 02월 03일","1,113.46","1,115.51","1,117.25","1,111.80","-0.17%"
"2021년 02월 02일","1,115.37","1,117.44","1,119.70","1,113.65","-0.10%"
"2021년 02월 01일","1,116.51","1,118.43","1,120.98","1,115.55","-0.10%"
"2021년 01월 29일","1,117.64","1,113.24","1,121.76","1,112.15","0.46%"
"2021년 01월 28일","1,112.52","1,108.42","1,121.36","1,107.49","0.37%"
"2021년 01월 27일","1,108.38","1,102.01","1,109.90","1,100.87","0.67%"
"2021년 01월 26일","1,101.02","1,102.69","1,108.24","1,100.47","-0.14%"
"2021년 01월 25일","1,102.58","1,105.54","1,105.92","1,100.05","-0.26%"
"2021년 01월 22일","1,105.41","1,099.97","1,107.29","1,098.95","0.50%"
"2021년 01월 21일","1,099.88","1,097.35","1,102.67","1,096.59","0.32%"
"2021년 01월 20일","1,096.35","1,102.44","1,103.39","1,096.88","-0.46%"
"2021년 01월 19일","1,101.44","1,104.18","1,106.17","1,100.20","-0.10%"
"2021년 01월 18일","1,102.52","1,104.26","1,108.42","1,102.28","-0.07%"
"2021년 01월 15일","1,103.27","1,096.04","1,105.33","1,094.93","0.67%"
"2021년 01월 14일","1,095.88","1,098.11","1,103.42","1,093.93","-0.11%"
"2021년 01월 13일","1,097.12","1,094.60","1,099.33","1,092.37","0.24%"
"2021년 01월 12일","1,094.48","1,097.38","1,103.46","1,092.97","-0.25%"
"2021년 01월 11일","1,097.23","1,093.01","1,101.05","1,092.73","0.39%"
"2021년 01월 08일","1,092.93","1,094.35","1,099.21","1,088.79","-0.12%"
"2021년 01월 07일","1,094.28","1,088.03","1,096.78","1,085.42","0.58%"
"2021년 01월 06일","1,087.93","1,087.40","1,089.79","1,083.91","0.14%"
"2021년 01월 05일","1,086.42","1,086.69","1,090.33","1,082.04","-0.01%"
"2021년 01월 04일","1,086.48","1,085.73","1,088.30","1,080.02","0.16%"
"2021년 01월 01일","1,084.73","1,085.69","1,086.10","1,085.25","0.02%"
"2020년 12월 31일","1,084.47","1,088.43","1,090.35","1,082.97","-0.29%"
"2020년 12월 30일","1,087.62","1,091.97","1,093.92","1,084.52","-0.31%"
"2020년 12월 29일","1,090.97","1,097.30","1,098.57","1,090.63","-0.42%"
"2020년 12월 28일","1,095.60","1,100.08","1,103.55","1,093.51","-0.32%"
"2020년 12월 25일","1,099.07","1,102.66","1,102.81","1,100.03","-0.23%"
"2020년 12월 24일","1,101.59","1,106.87","1,107.47","1,100.48","-0.46%"
"2020년 12월 23일","1,106.65","1,109.94","1,111.05","1,104.68","-0.28%"
"2020년 12월 22일","1,109.72","1,104.31","1,111.05","1,102.46","0.65%"
"2020년 12월 21일","1,102.55","1,099.48","1,112.74","1,097.94","0.29%"
"2020년 12월 18일","1,099.39","1,094.01","1,100.78","1,092.34","0.58%"
"2020년 12월 17일","1,093.01","1,094.12","1,095.43","1,090.27","0.06%"
"2020년 12월 16일","1,092.36","1,089.56","1,096.55","1,088.05","0.27%"
"2020년 12월 15일","1,089.43","1,093.32","1,096.14","1,088.49","-0.33%"
"2020년 12월 14일","1,093.07","1,091.80","1,094.91","1,088.85","0.13%"
"2020년 12월 11일","1,091.67","1,087.34","1,094.56","1,085.27","0.56%"
"2020년 12월 10일","1,085.55","1,087.38","1,091.93","1,084.12","-0.09%"
"2020년 12월 09일","1,086.48","1,085.79","1,088.97","1,080.82","0.15%"
"2020년 12월 08일","1,084.86","1,084.53","1,087.79","1,082.49","0.12%"
"2020년 12월 07일","1,083.53","1,083.87","1,088.35","1,080.39","-0.02%"
"2020년 12월 04일","1,083.77","1,092.20","1,093.71","1,080.57","-0.76%"
"2020년 12월 03일","1,092.08","1,100.16","1,101.91","1,089.70","-0.72%"
"2020년 12월 02일","1,100.02","1,106.23","1,107.01","1,099.22","-0.52%"
"2020년 12월 01일","1,105.73","1,109.82","1,110.35","1,105.20","-0.32%"
"2020년 11월 30일","1,109.32","1,105.02","1,110.34","1,103.20","0.44%"
"2020년 11월 27일","1,104.43","1,106.07","1,107.47","1,102.43","-0.10%"
"2020년 11월 26일","1,105.57","1,106.33","1,108.77","1,103.13","-0.06%"
"2020년 11월 25일","1,106.21","1,110.64","1,111.51","1,104.69","-0.36%"
"2020년 11월 24일","1,110.24","1,114.01","1,114.68","1,108.08","-0.29%"
"2020년 11월 23일","1,113.51","1,115.08","1,116.82","1,109.91","-0.13%"
"2020년 11월 20일","1,114.95","1,114.09","1,117.87","1,112.31","0.12%"
"2020년 11월 19일","1,113.59","1,106.67","1,119.09","1,106.08","0.67%"
"2020년 11월 18일","1,106.17","1,105.79","1,107.84","1,101.61","0.07%"
"2020년 11월 17일","1,105.38","1,107.16","1,108.39","1,103.98","-0.15%"
"2020년 11월 16일","1,107.04","1,108.25","1,110.56","1,105.09","-0.05%"
"2020년 11월 13일","1,107.62","1,115.03","1,117.12","1,107.03","-0.65%"
"2020년 11월 12일","1,114.86","1,112.49","1,116.31","1,110.46","0.22%"
"2020년 11월 11일","1,112.39","1,117.20","1,118.13","1,108.93","-0.42%"
"2020년 11월 10일","1,117.07","1,119.45","1,120.29","1,113.60","-0.18%"
"2020년 11월 09일","1,119.06","1,121.91","1,122.35","1,110.42","-0.21%"
"2020년 11월 06일","1,121.40","1,123.38","1,127.18","1,118.45","-0.13%"
"2020년 11월 05일","1,122.88","1,129.66","1,134.41","1,121.60","-0.42%"
"2020년 11월 04일","1,127.65","1,131.39","1,147.82","1,125.47","-0.32%"
"2020년 11월 03일","1,131.32","1,133.10","1,137.16","1,129.79","-0.14%"
"2020년 11월 02일","1,132.95","1,136.60","1,137.60","1,132.59","-0.31%"
"2020년 10월 30일","1,136.49","1,130.56","1,139.16","1,126.23","0.57%"
"2020년 10월 29일","1,130.06","1,135.14","1,136.08","1,130.19","-0.43%"
"2020년 10월 28일","1,134.93","1,129.28","1,138.97","1,126.57","0.51%"
"2020년 10월 27일","1,129.21","1,132.51","1,133.43","1,124.69","-0.29%"
"2020년 10월 26일","1,132.44","1,128.45","1,134.16","1,127.06","0.40%"
"2020년 10월 23일","1,127.95","1,135.14","1,136.94","1,126.23","-0.60%"
"2020년 10월 22일","1,134.74","1,133.07","1,137.55","1,131.96","0.19%"
"2020년 10월 21일","1,132.54","1,138.77","1,140.10","1,130.61","-0.51%"
"2020년 10월 20일","1,138.39","1,140.63","1,141.88","1,137.25","-0.15%"
"2020년 10월 19일","1,140.06","1,142.21","1,143.96","1,137.26","-0.18%"
"2020년 10월 16일","1,142.13","1,145.23","1,148.14","1,140.73","-0.26%"
"2020년 10월 15일","1,145.14","1,147.20","1,149.46","1,141.53","-0.17%"
"2020년 10월 14일","1,147.14","1,148.80","1,150.00","1,142.28","-0.10%"
"2020년 10월 13일","1,148.30","1,148.29","1,151.93","1,144.46","0.04%"
"2020년 10월 12일","1,147.79","1,143.65","1,152.14","1,143.11","0.37%"
"2020년 10월 09일","1,143.52","1,151.22","1,151.87","1,141.86","-0.66%"
"2020년 10월 08일","1,151.11","1,157.38","1,159.31","1,150.43","-0.53%"
"2020년 10월 07일","1,157.26","1,164.87","1,166.56","1,156.14","-0.61%"
"2020년 10월 06일","1,164.37","1,157.29","1,166.07","1,156.42","0.63%"
"2020년 10월 05일","1,157.12","1,166.35","1,167.33","1,156.59","-0.78%"
"2020년 10월 02일","1,166.26","1,162.93","1,168.28","1,162.18","0.29%"
"2020년 10월 01일","1,162.83","1,164.75","1,165.84","1,160.70","-0.16%"
"2020년 09월 30일","1,164.65","1,168.82","1,171.58","1,163.73","-0.35%"
"2020년 09월 29일","1,168.73","1,167.35","1,171.60","1,166.38","0.16%"
"2020년 09월 28일","1,166.85","1,174.44","1,175.23","1,166.81","-0.64%"
"2020년 09월 25일","1,174.32","1,169.60","1,178.03","1,168.35","0.45%"
"2020년 09월 24일","1,169.10","1,170.78","1,176.31","1,167.08","-0.13%"
"2020년 09월 23일","1,170.65","1,163.65","1,172.46","1,160.69","0.61%"
"2020년 09월 22일","1,163.61","1,164.84","1,166.03","1,158.93","0.00%"
"2020년 09월 21일","1,163.61","1,165.00","1,168.31","1,156.46","-0.10%"
"2020년 09월 18일","1,164.81","1,169.70","1,170.78","1,159.40","-0.38%"
"2020년 09월 17일","1,169.20","1,172.97","1,178.18","1,168.43","-0.31%"
"2020년 09월 16일","1,172.88","1,180.26","1,181.93","1,169.90","-0.58%"
"2020년 09월 15일","1,179.76","1,181.89","1,183.53","1,176.74","-0.15%"
"2020년 09월 14일","1,181.51","1,187.99","1,188.86","1,180.21","-0.54%"
"2020년 09월 11일","1,187.89","1,188.21","1,190.27","1,185.60","-0.02%"
"2020년 09월 10일","1,188.11","1,184.92","1,188.73","1,183.88","0.28%"
"2020년 09월 09일","1,184.79","1,190.23","1,191.79","1,184.05","-0.45%"
"2020년 09월 08일","1,190.10","1,187.77","1,190.87","1,185.80","0.24%"
"2020년 09월 07일","1,187.27","1,187.33","1,189.67","1,185.85","-0.00%"
"2020년 09월 04일","1,187.30","1,191.73","1,193.21","1,186.94","-0.35%"
